WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
31/3/2016 20:00,11.6,236,26,0,1013.2,1016.7,1016.8,0,58.7,5,14,27.6,25.7,25.3,26.1,10,19.93
31/3/2016 20:10,11.9,223,26,0,1013.1,1016.6,1016.7,0,59.9,4,21,27.5,25.8,25.3,26.1,8,20
31/3/2016 20:20,11.7,243,26,0,1013.1,1016.6,1016.7,0,59.1,6,15,27.5,25.8,25.3,26.1,10,20.02
31/3/2016 20:30,11.3,247,23,0,1013.1,1016.6,1016.7,0,57.6,6,24,27.4,25.8,25.4,26.1,11,20.01
31/3/2016 20:40,11.3,239,24,0,1013.1,1016.6,1016.7,0,57.7,6,11,27.3,25.8,25.4,26.1,11,19.95
31/3/2016 20:50,11,234,27,0,1013.1,1016.6,1016.7,0,56.6,5,14,27.3,25.8,25.4,26.1,10,19.93
31/3/2016 21:00,11.2,238,23,0,1013.2,1016.7,1016.8,0,57.2,4,17,27.2,25.8,25.4,26.1,6,19.92
31/3/2016 21:10,11.7,229,19,0,1013.3,1016.8,1016.9,0,59.1,4,20,27.2,25.8,25.4,26.1,6,19.94
31/3/2016 21:20,11.8,230,11,0,1013.4,1016.9,1017,0,59.6,4,22,27.1,25.9,25.4,26.1,8,19.92
31/3/2016 21:30,11.2,238,25,0.1,1013.5,1017,1017.1,0,57.6,6,16,27.1,25.9,25.4,26.1,11,19.85
31/3/2016 21:40,10.7,226,28,0,1013.5,1017,1017.1,0,56.2,5,30,27,25.9,25.4,26.1,8,19.67
31/3/2016 21:50,10.6,234,20,0,1013.4,1016.9,1017,0,57,4,15,27,25.9,25.5,26.1,7,19.34
31/3/2016 22:00,10.8,233,14,0,1013.4,1016.9,1017,0,58.2,3,27,26.9,25.8,25.5,26.1,5,19.24
31/3/2016 22:10,11,244,18,0,1013.4,1016.9,1017,0,59.3,4,24,26.8,25.9,25.5,26.1,6,19.15
31/3/2016 22:20,11,252,15,0,1013.3,1016.8,1016.9,0,59.1,4,23,26.8,25.9,25.5,26.1,6,19.27
31/3/2016 22:30,11.1,249,17,0,1013.3,1016.8,1016.9,0,59.9,4,17,26.7,25.8,25.5,26.1,7,19.16
31/3/2016 22:40,11.1,238,19,0,1013.2,1016.7,1016.8,0,59.3,4,19,26.7,25.8,25.5,26.1,7,19.25
31/3/2016 22:50,11.1,246,4,0,1013.2,1016.7,1016.8,0,59.9,3,14,26.6,25.9,25.5,26.1,5,19.16
31/3/2016 23:00,11.3,250,5,0,1013.2,1016.7,1016.8,0,61,3,17,26.6,25.8,25.5,26.1,5,19.09
31/3/2016 23:10,11.4,243,11,0,1013.1,1016.6,1016.7,0,61.9,4,13,26.5,25.8,25.5,26.1,5,18.94
31/3/2016 23:20,11.5,250,12,0,1013,1016.5,1016.6,0,62.8,4,11,26.5,25.8,25.6,26.1,6,18.81
31/3/2016 23:30,11.4,257,11,0,1012.9,1016.4,1016.5,0,63.5,5,13,26.4,25.8,25.6,26.1,7,18.48
31/3/2016 23:40,11.4,250,15,0,1012.9,1016.4,1016.5,0,64.7,5,10,26.4,25.8,25.6,26.1,6,18.19
31/3/2016 23:50,11.4,243,5,0,1012.7,1016.2,1016.3,0,65.8,3,11,26.3,25.8,25.6,26.1,5,17.95
2/4/2015 0:00,9.6,92,14,0,1018.1,1021.6,1021.7,0,53.8,9,22,26.2,25.6,25.4,25.9,13,19.19
2/4/2015 0:10,9.4,98,16,0,1018.1,1021.6,1021.7,0,53.9,8,19,26.2,25.6,25.5,25.9,11,18.99
2/4/2015 0:20,9.5,110,16,0,1018.2,1021.7,1021.8,0,55.2,7,23,26.1,25.6,25.5,25.9,11,18.7
2/4/2015 0:30,9.3,115,18,0,1018.2,1021.7,1021.8,0,56.4,6,12,26,25.6,25.5,25.9,9,18.17
2/4/2015 0:40,8.8,116,17,0,1018.2,1021.7,1021.8,0,55.4,7,23,26,25.6,25.5,25.9,11,17.88
2/4/2015 0:50,8.5,114,17,0,1018.2,1021.7,1021.8,0,54.9,7,17,25.9,25.6,25.5,25.9,11,17.74
2/4/2015 1:00,8.3,107,16,0.1,1018.2,1021.7,1021.8,0,54.8,8,24,25.9,25.6,25.5,25.9,12,17.59
2/4/2015 1:10,8.3,111,18,0,1018.2,1021.7,1021.8,0,55.3,7,24,25.8,25.5,25.5,25.9,10,17.34
2/4/2015 1:20,8.2,108,14,0,1018.2,1021.7,1021.8,0,56.1,7,17,25.8,25.5,25.5,25.9,11,17.09
2/4/2015 1:30,8.2,108,16,0,1018.2,1021.7,1021.8,0,55.8,8,7,25.7,25.5,25.5,25.9,13,17.16
2/4/2015 1:40,8.2,104,17,0,1018.1,1021.6,1021.7,0,56.3,8,8,25.7,25.5,25.5,25.9,16,17
2/4/2015 1:50,8.2,106,17,0,1018.1,1021.6,1021.7,0,56.7,8,6,25.6,25.5,25.5,25.9,12,16.91
2/4/2015 2:00,8.2,102,16,0,1018.1,1021.6,1021.7,0,56.9,8,18,25.5,25.5,25.5,25.9,18,16.82
2/4/2015 2:10,8.3,102,16,0,1018,1021.5,1021.6,0,57.9,7,14,25.5,25.5,25.5,25.9,10,16.62
2/4/2015 2:20,8.2,104,18,0,1018,1021.5,1021.6,0,58.1,7,23,25.5,25.4,25.5,25.9,12,16.53
2/4/2015 2:30,8.2,99,18,0,1017.9,1021.4,1021.5,0,57.7,8,20,25.4,25.4,25.5,25.9,15,16.58
2/4/2015 2:40,8.1,97,15,0,1017.8,1021.3,1021.4,0,57.9,8,14,25.3,25.4,25.5,25.9,12,16.48
2/4/2015 2:50,8.1,95,14,0,1017.8,1021.3,1021.4,0,58,7,9,25.3,25.4,25.5,25.9,11,16.42
2/4/2015 3:00,8.1,94,18,0,1017.7,1021.2,1021.3,0,58.6,7,12,25.2,25.4,25.5,25.9,13,16.28
2/4/2015 3:10,8.3,98,15,0,1017.7,1021.2,1021.3,0,59.7,6,15,25.2,25.3,25.5,25.9,11,16.18
2/4/2015 3:20,8.3,92,18,0,1017.6,1021.1,1021.2,0,59.7,7,16,25.1,25.3,25.5,25.9,12,16.18
2/4/2015 3:30,8.2,88,16,0,1017.6,1021.1,1021.2,0,58.6,8,20,25.1,25.3,25.5,25.9,15,16.33
2/4/2015 3:40,8,94,15,0,1017.5,1021,1021.1,0,58.3,8,19,25,25.3,25.5,25.9,12,16.25
2/4/2015 3:50,8,92,12,0,1017.6,1021.1,1021.2,0,58.4,7,24,25,25.2,25.5,25.9,11,16.15
2/4/2015 4:00,7.8,86,15,0,1017.5,1021,1021.1,0,57.6,8,15,24.9,25.2,25.5,25.9,13,16.2
